window,flow_count,flow_duration_mean,fwd_packets_mean,bwd_packets_mean,fwd_bytes_sum,bwd_bytes_sum,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_mean,bwd_iat_mean,syn_count,ack_count,rst_count,fin_count,psh_fwd_count,psh_bwd_count,urg_fwd_count,urg_bwd_count,packet_length_mean,packet_length_std,packets_per_second,bytes_per_second,down_up_ratio,active_mean,active_std,idle_mean,idle_std,infiltration_label,packet_count,unique_src_ips,unique_dst_ips,unique_src_ports,unique_dst_ports,ttl_mean,ttl_std,tcp_window_mean,tcp_window_std,payload_mean,payload_sum,payload_max,fragmented_packets,window_start_sec
10,1337,14844871.763649963,6.43455497382199,7.385938668661182,828545,7477715,1150122.1708327332,1161286.6177829825,59109659,0,1569254.9007006425,854533.9428868094,39,256,406,5,39,0,0,0,116.71424884902932,148.68161398243396,,,0.6664173522812267,233360.4543040014,80901.44559900198,4220831.867204129,133225.64800741448,0,34.0,6.0,5.0,10.0,10.0,149.52941176470588,58.65060143023549,5210.0625,12243.213422104245,172.58823529411765,5868.0,1460.0,0.0,600
11,794,9764234.340050377,5.105793450881612,4.2430730478589425,309196,1127766,1357974.125573605,1070689.9847017522,59936356,0,1619755.0440131149,918037.8827863227,94,272,230,18,94,0,0,0,85.96317691997014,135.36178545299168,,216347.13157206523,0.48614609571788414,179339.09582280437,12508.81967796612,4464075.612721929,115941.60435792596,0,186.0,12.0,9.0,23.0,25.0,155.65591397849462,62.178730112067406,14136.782608695652,24492.844809668706,139.41397849462365,25931.0,3221.0,0.0,660
12,1353,13591732.462675536,5.09830007390983,4.986696230598669,545183,3141530,803646.7414173458,1353008.1285977669,85482437,0,1132279.1689660214,1052088.699583378,51,243,357,0,51,0,0,0,97.33729985949556,131.11366446170206,,,0.6977087952697709,300700.63587299164,187871.5511062987,4732534.470413705,227722.8769260842,0,89.0,9.0,9.0,13.0,13.0,124.25842696629213,34.22536542400296,19985.393258426968,28357.51200724982,200.59550561797752,17853.0,1460.0,0.0,720
13,645,9435989.227906976,4.863565891472868,4.068217054263566,251540,944385,2135966.5732364664,826299.2052427232,59936424,0,2293555.4033569195,853235.016796592,49,185,173,3,49,0,0,0,87.7132346687214,127.21538046299052,,,0.5472868217054263,338770.0963659798,64829.574812971885,4008191.8086024434,83303.53776437735,0,68.0,8.0,4.0,13.0,14.0,151.10294117647058,60.41748775844016,5811.911764705882,7498.260697297451,45.705882352941174,3108.0,488.0,0.0,780
14,983,9773747.975584945,4.682604272634792,3.7416073245167856,441346,1144895,774241.4767023022,1138688.2815108823,113345206,0,1046652.8575227726,861531.3678805333,54,282,266,1,54,0,0,0,93.27717834033498,134.3087559802944,,534415.7091468766,0.6093591047812817,409937.37268741766,167442.5415166639,3639468.3002280015,277907.70062620135,0,65.0,6.0,6.0,12.0,12.0,124.12307692307692,41.43085644039495,31207.85714285714,30676.630809165523,82.8,5382.0,1173.0,0.0,840
15,999,8603468.876876878,4.40940940940941,3.7027027027027026,329843,1209494,744720.3578659522,832217.4380720792,59936344,0,993422.7988777971,752936.5587090965,79,277,275,6,79,0,0,0,90.73139458547688,128.80112024034594,,,0.5835835835835835,118790.48273817654,89645.34497751547,2642408.8804802643,66861.83477706497,0,155.0,11.0,10.0,21.0,21.0,127.32903225806452,57.88895658510298,9409.793548387097,17475.443772934555,70.30322580645161,10897.0,1173.0,0.0,900
16,1104,16063687.750905797,5.213768115942029,4.440217391304348,451138,1627329,1395459.1150353614,1367879.4126487586,59000000,0,1800363.116776404,1094845.0602137824,56,215,344,2,56,0,0,0,99.55476697567981,146.32818565669174,,,0.6485507246376812,450539.65348225064,100782.10593169634,4994569.4125510035,205334.80104240763,0,38.0,6.0,5.0,9.0,9.0,128.28947368421052,57.06227413488912,17705.57894736842,26346.241038238266,81.42105263157895,3094.0,1173.0,0.0,960
17,925,8561440.844324324,4.161081081081081,3.6324324324324326,283001,998126,608365.4606589661,906785.6154140952,59936409,0,851832.2141730024,794709.6535924468,40,194,210,4,40,0,0,0,81.87340559582303,111.10448776625785,,,0.6389189189189189,114839.71744235628,111170.56464286937,3115634.214900938,160172.10585622303,0,299.0,8.0,7.0,22.0,22.0,114.9933110367893,23.682745582577745,24448.628762541804,30234.24167358073,132.1103678929766,39501.0,1179.0,0.0,1020
18,1174,13886053.504258944,4.965928449744464,4.3645655877342415,487941,1636027,868157.2400173474,1244491.3992344863,61400000,0,1310107.2521440338,1042033.8163640895,35,255,321,4,35,0,0,0,85.72931159808527,119.23479579830484,,,0.645655877342419,387207.1472145866,126355.39412286103,3614429.33016535,151450.27876657207,0,584.0,14.0,13.0,50.0,54.0,123.57534246575342,41.07276488526076,23494.097173144877,28926.290744704518,133.16438356164383,77768.0,5805.0,0.0,1080
19,623,9202577.686998395,4.778491171749598,3.5858747993579456,257655,548207,1924965.3963724538,1011866.8475193166,59936502,0,2111927.869627353,785217.5106726431,55,230,169,5,55,0,0,0,78.7906793940703,119.36219178632055,,613499.1649884618,0.4333868378812199,172961.76710988765,35424.503051964406,3833511.586249331,182088.6093398228,0,480.0,13.0,15.0,41.0,56.0,112.69583333333334,32.34868715868924,22946.124463519314,29391.384624910417,127.74375,61317.0,3683.0,0.0,1140
20,957,11915752.094043886,5.409613375130617,4.458725182863114,1032221,1271054,774834.5067848864,1050765.4907667285,59000000,0,1099877.5264708432,839011.3618901375,74,261,220,5,74,0,0,0,89.27520339779268,125.01278093253113,,,0.619644723092999,297593.0919776922,198070.86270919646,3597608.7970867837,320235.22857556754,0,453.0,10.0,9.0,29.0,44.0,114.96247240618102,21.13046086043957,24624.929046563193,30390.888494625025,127.79028697571744,57889.0,1179.0,0.0,1200
21,941,16477876.520722635,5.988310308182784,5.239107332624867,462570,1353419,1184450.4086004302,1597323.3811777753,68679446,0,1669550.520636347,1325940.8289938858,51,157,287,4,51,0,0,0,96.68452063329947,132.3894471358251,,,0.6014877789585548,285108.82781012595,48810.46259982373,5697077.960473352,244729.9500117324,0,557.0,14.0,13.0,43.0,57.0,116.71992818671454,24.999867222565655,21271.787155963302,29146.06700485801,214.34649910233392,119391.0,4901.0,0.0,1260
22,723,11583719.883817427,5.676348547717843,5.240663900414938,393099,2056422,1329214.4358040246,1093009.3195118695,59000000,0,1579636.3400766866,644020.7218036547,37,212,208,2,37,0,0,0,111.43754339745159,144.76211871446722,,,0.5408022130013831,282593.94421535113,97986.56840835605,4127321.8763301554,100535.26812087584,0,772.0,10.0,9.0,30.0,44.0,111.78238341968913,19.132666750450586,12059.241514360314,23901.125362799572,644.8290155440415,497808.0,3333.0,0.0,1320
23,824,11629969.616504854,5.099514563106796,4.281553398058253,371270,1026266,981670.6136683287,1308707.579840823,59936620,0,1267005.448110429,1100341.6278973792,101,296,219,6,101,0,0,0,86.9125953907034,127.905597012421,,,0.5206310679611651,400318.3451011507,75245.35744818217,4508753.5232268,173241.92680018494,0,3086.0,10.0,10.0,34.0,49.0,109.84219053791315,14.48325637864802,4475.719338092148,13745.813117799431,1079.2725210628646,3330635.0,1460.0,0.0,1380
24,771,10695658.402075227,5.040207522697795,4.274967574578469,358914,1283680,1349496.6400675063,980193.729074414,82242010,0,1639908.6363100226,688764.7844250825,68,224,212,2,68,0,0,0,87.98395250831724,126.03367913098639,,,0.5188067444876784,646563.2147232392,34497.32009957197,3519608.3436059807,403992.401312831,0,440.0,12.0,9.0,31.0,48.0,114.7090909090909,21.84657433341924,22635.899543378997,29424.373564217753,142.23181818181817,62582.0,1460.0,0.0,1440
25,1115,14627188.097757848,5.185650224215246,5.758744394618834,568997,3189292,1151242.0740799524,1422545.7317241982,59936400,0,1570875.555156024,1020755.4183346845,46,199,285,5,46,0,0,0,99.84961061779507,130.62681201514152,,166972.65373946112,0.6968609865470852,279104.42188070767,202480.70969486661,5114937.600898192,146819.6255602664,0,516.0,11.0,13.0,42.0,57.0,118.30232558139535,35.109505177436915,20965.898203592813,28918.3839367904,144.62209302325581,74625.0,1460.0,0.0,1500
26,746,13665284.934316354,6.201072386058981,6.064343163538874,431014,1882517,969604.3909353793,1210056.1367899852,72100000,0,1318837.2268237474,895590.6310596543,59,209,230,6,59,0,0,0,104.22339414192668,159.4411455857138,,256387.52410265856,0.5898123324396782,390616.6217674067,237000.31268800283,4521256.208032897,305479.0006286929,0,490.0,8.0,7.0,39.0,52.0,130.0122448979592,46.49669439908767,18190.485655737706,27240.152719101225,123.04285714285714,60291.0,2565.0,0.0,1560
27,860,17311186.547674417,5.910465116279069,5.826744186046511,477129,2377857,1713509.3608861475,1370657.7313458335,59936459,0,2108954.4145830236,1047642.2354872682,33,186,214,6,33,0,0,0,100.34551379951047,133.660806111025,,104820.4226451143,0.6453488372093024,496019.75448055955,315583.2426789231,5303274.813207006,401374.77613858215,0,418.0,10.0,9.0,28.0,43.0,115.28708133971291,22.429829307864527,22674.86778846154,29846.37713324798,318.9665071770335,133328.0,30660.0,0.0,1620
28,766,9915620.464751959,4.7558746736292425,4.043080939947781,350869,1015655,906099.4889818131,1181992.857790476,69325125,0,1294579.2999871972,878451.4638486233,88,256,197,13,88,0,0,0,87.1999085177171,130.90270266177075,,247455.84062003344,0.5065274151436031,655305.2526913908,70997.52176176978,3854817.9236608027,202776.42553748895,0,490.0,14.0,12.0,36.0,51.0,118.17959183673469,29.2891304307119,22873.588114754097,29376.163453885994,137.74897959183673,67497.0,1460.0,0.0,1680
29,1369,13963554.241782323,5.45799853907962,4.870708546384222,638860,2072036,703477.0472206328,1398886.2220379873,59936345,0,1128698.2873257336,1095166.4689289508,100,320,369,2,100,0,0,0,89.03273790881191,127.69195412320629,,193749.51180578052,0.5997078159240321,400554.33858687925,166573.27202047795,4700314.6510906285,280498.1171651446,0,399.0,8.0,9.0,32.0,45.0,114.02255639097744,25.45568604933708,22509.066838046274,29681.911730635053,132.062656641604,52693.0,1460.0,0.0,1740
30,1958,15789502.245148111,5.469867211440246,5.449438202247191,1313663,4742772,1094039.9714116906,1345810.4255083425,88847323,0,1529073.2664672951,941385.0418300591,83,353,565,12,83,0,0,0,105.76384883381878,148.06561645641202,,,0.6716036772216547,134661.9126305738,91333.59635239908,5001972.94818177,296936.6730227728,0,391.0,5.0,4.0,24.0,37.0,114.77493606138107,21.6999464948768,23010.355498721226,29485.61927168624,132.3222506393862,51738.0,1179.0,0.0,1800
31,941,13796008.643995749,5.405951115834219,4.804463336875664,525001,1141146,912493.4851248466,1399108.5776964205,59936503,0,1311790.6282902549,1113039.6716651646,72,272,222,11,72,0,0,0,81.95412091730235,115.46368128008066,,,0.6068012752391073,928158.0207794274,485940.97758228553,4695731.621088575,397687.8215316378,0,461.0,10.0,9.0,31.0,46.0,114.66377440347071,20.054972550062942,21891.126086956523,28824.829626771254,124.7527114967462,57511.0,1179.0,0.0,1860
32,914,10502478.352297593,4.62582056892779,3.6083150984682715,427949,822262,1005291.7910997237,1267916.6744790883,58700000,0,1277386.3618801874,607366.931503888,110,366,215,19,110,0,0,0,75.2471960655046,110.3727253347104,,1111423.5376559652,0.4989059080962801,490822.2707205838,146319.11130018218,3531497.602474658,269136.41215006204,0,432.0,9.0,8.0,28.0,42.0,115.14814814814815,20.876196689292314,24178.743055555555,29820.195438525076,128.51388888888889,55518.0,1179.0,0.0,1920
33,1946,14580178.32065776,5.0647482014388485,4.786228160328879,782730,3264612,1055330.7401923214,1434534.3788866033,59936418,0,1516710.1411206003,1057932.3530368768,144,475,519,20,144,0,0,0,90.17559078699009,129.05024623813546,,,0.6479958890030832,148799.42391456675,85243.1393204428,5140408.463581937,180115.11208121627,0,412.0,6.0,6.0,25.0,39.0,116.96601941747574,31.455430341755356,23403.771844660194,29994.404335099,128.19174757281553,52815.0,1179.0,0.0,1980
34,886,10845315.797968397,4.81941309255079,4.227990970654628,450904,1170210,880938.5420556262,1298626.0316061631,58936531,0,1177437.8001353976,694826.058578626,41,248,229,5,41,0,0,0,85.55886280405565,118.76358415439515,,,0.5914221218961625,654347.5178520947,60579.09585127926,4900754.590493239,129493.22144994824,0,438.0,10.0,9.0,29.0,44.0,114.43607305936074,21.92934932141295,23035.65068493151,29337.41018823503,121.97488584474885,53425.0,1179.0,0.0,2040
35,769,10690962.730819246,5.0338101430429125,3.8972691807542263,377162,689729,1286695.029273821,1395135.6337624465,59936344,0,1675399.687743532,1033475.433971301,82,299,194,4,82,0,0,0,83.78405728809389,125.25724603305903,,,0.47854356306892065,337738.1717381794,240029.15871514045,3922996.0188196795,295254.8935834148,0,408.0,5.0,4.0,25.0,39.0,120.30392156862744,33.91579085182003,22881.56862745098,29818.938591976,128.26225490196077,52331.0,1179.0,0.0,2100
36,1103,11530148.463281957,4.86219401631913,4.504079782411605,346431,2519269,1102577.3067594608,948985.4296983703,59394558,0,1347542.404932172,653611.8973225121,48,252,298,7,48,0,0,0,92.36296497032438,124.70476612213616,,,0.6038077969174978,180015.12539985115,145994.52685964855,3213248.7804472023,88839.1694437907,0,419.0,9.0,8.0,26.0,40.0,114.3436754176611,20.55884952121642,24648.85202863962,30355.530436139506,133.6014319809069,55979.0,1179.0,0.0,2160
37,1948,14839103.44661191,5.893737166324435,6.266427104722792,1004242,7512324,698002.796043633,1287164.809819643,59936764,0,1135776.6380512174,1001051.2384950335,120,394,575,8,120,0,0,0,115.31396253225914,151.9042921696644,,,0.6468172484599589,109049.46637475451,80314.32862594374,4699442.993780038,201832.27360942803,0,410.0,6.0,6.0,26.0,41.0,112.27317073170731,25.70822767835189,22921.263414634148,28988.377856175375,119.37073170731708,48942.0,1179.0,0.0,2220
38,1033,15490792.302032914,5.885769603097773,6.015488867376573,403840,3544759,1319500.5504462118,1340844.791782872,59708474,0,1713241.5387695848,950341.566329641,70,252,303,1,70,0,0,0,101.93581043562962,149.32762070603115,,,0.5934172313649564,156885.78365449913,127331.6955101623,5497019.412207407,192206.94626678093,0,453.0,10.0,11.0,31.0,44.0,118.18543046357615,28.681668463376603,25241.075221238938,30321.264637808472,129.22295805739515,58538.0,1179.0,0.0,2280
39,1056,12377629.420454545,5.351325757575758,4.271780303030303,454592,1437460,1297312.4713207956,1532965.7080036572,59937377,0,1693742.4297468392,939708.9486106677,91,368,300,9,91,0,0,0,93.25259243492397,141.08809896372168,,,0.5274621212121212,181925.7326359926,165783.35619759714,5168509.889172693,143229.67841273092,0,447.0,9.0,11.0,37.0,50.0,113.44742729306488,31.54157746272673,21889.782710280375,29405.877313761936,153.46085011185681,68597.0,1460.0,0.0,2340
40,1588,9775834.501259446,5.293450881612091,4.260705289672544,2219664,2114780,640751.0990209425,1051928.3526980516,74800000,0,965978.7798843366,745643.9460086044,187,533,364,20,187,0,0,0,83.67402920916548,113.71282238057582,,,0.570528967254408,100681.07877257232,80920.70977532366,3420928.41879204,138870.15712590245,0,451.0,13.0,12.0,35.0,50.0,114.3059866962306,22.539238567239437,22893.792873051225,29771.85853193991,135.3481152993348,61042.0,1460.0,0.0,2400
41,1463,12987781.912508544,6.531784005468216,5.3253588516746415,623046,2309808,1134663.475831907,1252074.3291754485,59936367,0,1456471.1942001912,974737.728052159,93,294,406,2,93,0,0,0,91.23965815341168,128.96002395094135,,,0.644565960355434,241840.11621174193,71841.94231729669,4642210.9632278215,224753.76521815866,0,731.0,22.0,19.0,72.0,85.0,141.35294117647058,61.24224235106801,12725.44494047619,23664.68154033156,268.3105335157319,196135.0,4181.0,0.0,2460
42,1028,5609736.118677042,7.014591439688716,6.910505836575876,2912780,4419334,650963.9431704589,561362.6960690176,66424441,0,778572.6756232961,384975.85186814313,60,269,215,5,60,0,0,0,88.06728677630244,114.320451367818,,,0.6575875486381323,190852.00067210387,121199.69343412637,2088330.0658438606,126600.67483737142,0,1344.0,30.0,27.0,95.0,109.0,103.13392857142857,66.62774803178037,7132.507177033493,18301.067385855964,665.3876488095239,894281.0,1460.0,0.0,2520
43,1152,12388152.966145834,5.573784722222222,4.254340277777778,419583,1394076,821856.9638559017,1384829.7577538432,62208841,0,1192672.2351208692,1067390.8739462092,147,431,257,8,147,0,0,0,81.40061525719115,112.23276906648046,,,0.5338541666666666,193212.96174678014,183334.89835218355,4561204.764296708,178311.61743799425,0,2255.0,49.0,48.0,186.0,192.0,106.50776053215077,67.81366902317342,6219.03098868667,17052.010487819203,555.0682926829269,1251679.0,2642.0,0.0,2580
44,1023,9179111.100684263,3.787878787878788,3.3440860215053765,321482,1353359,1494561.9011963005,743799.7755112268,59600000,0,1612931.1753202258,520912.356445794,61,257,195,8,61,0,4,0,80.4944364391561,105.00159715639775,,270252.3024822205,0.6520039100684262,166444.85007701264,24119.71707668693,3540863.6835892666,161740.67865250754,0,1669.0,51.0,51.0,142.0,152.0,99.33612941881366,57.892795736594586,7272.86,18970.910777876976,358.3816656680647,598139.0,2792.0,0.0,2640
45,831,12871568.734055355,6.045728038507822,5.249097472924188,394511,2179642,1022326.6211956769,1333816.4016672922,59936365,0,1232458.7134882137,1099163.7934121375,25,227,253,2,25,0,8,0,101.71787679758687,138.29256318642828,,,0.6028880866425993,495766.0168005334,398006.7529581961,4132742.8611534536,230863.0693932842,0,2235.0,65.0,65.0,190.0,200.0,129.72125279642057,72.0870896637648,8054.696717295444,19522.417655388024,440.98165548098433,985594.0,3246.0,0.0,2700
46,1011,9122262.06330366,4.205736894164194,3.264094955489614,323676,905001,1071699.9869847868,933677.0668327046,59900000,0,1228946.200125899,870188.5434171037,102,352,282,8,102,0,24,0,75.27424707339406,114.4678877311899,,,0.5044510385756676,205551.69827968196,21432.22246031753,2812699.2675477965,232364.82943770147,0,1557.0,59.0,58.0,168.0,181.0,111.38021836865768,60.980921785450164,10113.36534296029,21367.122905517517,243.79383429672447,379587.0,2883.0,0.0,2760
47,933,10616498.941050375,4.442658092175777,2.957127545551983,243513,668872,1635792.6599393806,1207250.560826713,62194369,0,1798413.860787858,1165220.7549917044,100,324,245,6,100,0,24,0,66.34364004586527,99.37396211398489,,,0.4887459807073955,602124.5064325328,78786.05534312654,4280647.44448225,228056.5779268786,0,1323.0,54.0,52.0,131.0,143.0,105.66666666666667,57.443545923192765,10458.970321516901,22245.857201498922,267.87679516250944,354401.0,2891.0,0.0,2820
48,4485,3921002.0104793757,2.0459308807134895,1.8408026755852842,422467,1413261,294237.8828755126,438392.4743933047,79100000,0,391529.9316346321,360993.3652448942,110,312,350,9,110,0,57,0,24.635377132263542,33.59135079619153,,,0.8925306577480491,160569.57544066836,35964.212405230006,1346856.9108218707,83951.8053613072,0,1157.0,48.0,46.0,128.0,142.0,109.4295592048401,57.48411476883928,9331.31004784689,20918.35424353897,256.7579948141746,297069.0,2883.0,0.0,2880
49,791,11700051.513274336,8.27307206068268,5.737041719342605,2775229,1029150,1224257.9073367761,1523343.725116996,117375062,0,1415180.1762735897,1441662.090396839,75,225,241,4,75,0,24,0,78.78488165308686,119.43603219920695,,,0.5183312262958281,555691.0957400119,307484.39672766713,4487815.146987281,498253.1113416739,0,2077.0,41.0,42.0,119.0,133.0,84.00048146364949,53.880456237074405,6310.481313131313,16157.010642023546,667.6884930187771,1386789.0,2883.0,0.0,2940
50,1314,10880945.636986302,4.982496194824962,4.248858447488584,968181,2051607,1232765.7394508128,1032938.2013483805,59000000,0,1500495.0867468063,924954.867082446,132,394,352,3,132,0,24,0,96.41783497431614,130.83036246506506,,,0.5898021308980214,316316.7152218943,129027.1317727265,3606615.599496446,351215.25626924285,0,1671.0,46.0,45.0,149.0,161.0,105.76181926989827,61.89277575823799,7434.544560943644,18698.460547038645,360.7504488330341,602814.0,2883.0,0.0,3000
51,989,15344075.786653185,14.040444893832154,12.154701718907988,7488421,6828404,988299.0078201025,1548202.8647456435,109762935,0,1463707.5688861485,1153863.9881817326,60,223,261,5,60,0,0,0,107.15804296843629,132.5803406392089,,,0.6248736097067745,314942.2095351852,150853.0765573773,4743413.325380795,128724.69195539107,0,2407.0,78.0,77.0,267.0,280.0,121.21146655587869,64.64571059543418,10982.488283118126,21378.0296920259,201.61071873701704,485277.0,2863.0,0.0,3060
52,799,16724339.305381726,5.107634543178974,4.516896120150188,303194,1361574,1440705.0527076453,1661796.7577248905,59951678,0,1791309.9836428124,1173486.6784524666,73,177,171,4,73,0,0,0,82.9458301298522,110.3386156997075,,,0.7071339173967459,653112.6447442567,49235.45292253376,5489657.310566348,320069.00623838115,0,1365.0,63.0,62.0,136.0,148.0,117.32527472527472,58.16648404867724,12517.980544747083,23451.812004508138,117.63003663003663,160565.0,2863.0,0.0,3120
53,1176,14437545.136904761,5.437925170068027,4.800170068027211,906731,2408455,1191879.0143487772,1379698.2197919618,62596339,0,1538125.0430089997,1176842.3230358951,116,349,258,16,116,0,8,0,79.20872155350969,107.63677537316003,,,0.6215986394557823,327873.98733327974,107157.322531263,5011885.393080604,191565.2170620699,0,1130.0,46.0,46.0,107.0,119.0,115.09469026548672,55.960941618590724,12307.69512195122,23524.587791789858,135.56283185840707,153186.0,2863.0,0.0,3180
54,966,15610644.846790891,5.63871635610766,11.197722567287785,317273,11064788,1108940.2730631542,1320696.8574459641,58951792,0,1461878.118642497,1091155.0440720923,59,260,233,2,59,0,24,0,73.81468026585507,101.70926495419782,,,0.5921325051759835,509413.8223711726,143939.02727321978,4298931.296385633,325398.95168401307,0,1547.0,36.0,35.0,104.0,117.0,108.17065287653523,45.08853549853568,7457.258465791292,19303.682758147526,581.8552036199095,900130.0,2863.0,0.0,3240
55,677,11558879.58493353,4.251107828655835,3.106351550960118,188416,473578,1632312.2465112829,1274657.3312806822,74045761,0,1891526.6604417001,1334415.8144783017,99,228,152,6,99,0,24,0,62.476042668086265,90.17483581831713,,,0.4771048744460857,178678.41628955145,16185.352394099024,4066059.810369059,419322.6704531154,0,1154.0,36.0,37.0,161.0,174.0,139.23830155979203,65.33077798812315,10979.41862955032,22497.53833105894,197.74263431542462,228195.0,1460.0,0.0,3300
56,1548,15203506.797157623,5.041343669250646,4.482558139534884,492056,2581558,1060380.088951517,1273385.027170623,59008454,0,1390380.452421241,1016642.1612774944,105,357,379,4,105,0,24,0,89.11197367504398,120.60082854898462,,,0.6602067183462532,416016.92157283955,215490.99429758164,4384273.082244763,233070.91204550638,0,735.0,31.0,32.0,68.0,78.0,113.89659863945579,40.24983526793845,13266.655944055945,24905.316850690335,114.78639455782313,84368.0,2863.0,0.0,3360
